id,scientific_name,japanese_name,family_id
952,Pseudochapsa,,270
953,Rhabdodiscus,,270
954,Sarcographa,,270
955,Thelotrema,,270
956,Graphiola,,271
957,Biscogniauxia,,272
958,Graphostroma,,272
959,Grifola,マイタケ属,273
960,Gyalecta,,274
961,Ramonia,,274
962,Arachniotus,,275
963,Gymnascella,,275
964,Gymnoascus,,275
965,Gymnosporangium,,276
966,Roestelia,,276
967,Gyroporus,,277
968,Haematomma,,278
969,Alisea,,279
970,Aniptodera,,279
971,Arenariomyces,,279
972,Ceriosporopsis,,279
973,Corollospora,,279
974,Cucullosporella,,279
975,Halosarpheia,,279
976,Halosphaeria,,279
977,Halosphaeriopsis,,279
978,Lignincola,,279
979,Paraaniptodera,,279
980,Remispora,,279
981,Saagaromyces,,279
982,Tubakiella,,279
983,Varicosporina,,279
984,Gremmenia,,280
985,Hamatocanthoscypha,,280
986,Hyalodendriella,,280
987,Microscypha,,280
988,Xenopolyscytalum,,280
989,Harpella,,281
990,Stachylina,,281
991,Helicobasidium,,282
992,Rhopalomyces,,283
993,Gelatinipulvinella,,284
994,Gelatinopsis,,284
995,Echinosphaeria,,285
996,Endophragmiella,,285
997,Kramasamuha,,285
998,Ruzenia,,285
999,Spadicoides,,285
1000,Helocarpon,,286
1001,Ascoclavulina,,287
1002,Bispora,,287
1003,Bisporella,,287
1004,Bulgariella,,287
1005,Crocicreas,,287
1006,Cyathicula,,287
1007,Dicephalospora,,287
1008,Dimorphospora,,287
1009,Durella,,287
1010,Gorgoniceps,,287
1011,Helicodendron,,287
1012,Hymenoscyphus,,287
1013,Pseudohelotium,,287
1014,Pseudospiropes,,287
1015,Roesleria,,287
1016,Scytalidium,,287
1017,Stamnaria,,287
1018,Strossmayeria,,287
1019,Tatraea,,287
1020,Tetracladium,,287
1021,Balsamia,,288
1022,Dissingia,,288
1023,Helvella,,288
1024,Midotis,,288
1025,Dentipellis,,289
1026,Hericium,サンゴハリタケ属,289
1027,Laxitextum,,289
1028,Pseudowrightoporia,,289
1029,Hermatomyces,,290
1030,Capronia,,291
1031,Cladophialophora,,291
1032,Exophiala,,291
1033,Fonsecaea,,291
1034,Metulocladosporiella,,291
1035,Minimelanolocus,,291
1036,Neocladophialophora,,291
1037,Phialophora,,291
1038,Rhacodiopsis,,291
1039,Rhinocladiella,,291
1040,Thysanorea,,291
1041,Veronaea,,291
1042,Heterogastridium,,292
1043,Holtermannia,,293
1044,Myxarium,,294
1045,Cheiromycella,,295
1046,Cistella,,295
1047,Clathrosphaerina,,295
1048,Clavidisculum,,295
1049,Dematioscypha,,295
1050,Eupezizella,,295
1051,Hyalopeziza,,295
1052,Hyaloscypha,,295
1053,Hyphopeziza,,295
1054,Incrupila,,295
1055,Mimicoscypha,,295
1056,Mycoarthris,,295
1057,Polydesmia,,295
1058,Pseudaegerita,,295
1059,Rhizoscyphus,,295
1060,Unguicularia,,295
1061,Unguiculella,,295
1062,Urceolella,,295
1063,Bryoclavula,,296
1064,Cantharellus,アンズタケ属,296
1065,Clavulina,,296
1066,Craterellus,クロラッパタケ属,296
1067,Hydnum,,296
1068,Minimedusa,,296
1069,Multiclavula,,296
1070,Repetobasidium,,296
1071,Sistotrema,,296
1072,Hydnangium,,297
1073,Laccaria,,297
1074,Brevicellicium,,298
1075,Sphaerobasidium,,298
1076,Subulicystidium,,298
1077,Tubulicium,,298
1078,Ampulloclitocybe,,299
1079,Arrhenia,,299
1080,Cantharellula,,299
1081,Chrysomphalina,,299
1082,Cora,,299
1083,Cuphophyllus,,299
1084,Cyphellostereum,,299
1085,Dictyonema,,299
1086,Gliophorus,,299
1087,Gloioxanthomyces,,299
1088,Hygrocybe,,299
1089,Hygrophorus,,299
1090,Lichenomphalia,,299
1091,Neohygrocybe,,299
1092,Porpolomopsis,,299
1093,Hygrophoropsis,,300
1094,Leucogyrophana,,300
1095,Ionaspis,,301
1096,Tremolecia,,301
1097,Coltricia,,302
1098,Coltriciella,,302
1099,Coniferiporia,,302
1100,Cylindrosporus,,302
1101,Erythromyces,,302
1102,Fomitiporella,,302
1103,Fomitiporia,,302
1104,Fulvifomes,,302
1105,Fulvoderma,,302
1106,Fuscoporia,,302
1107,Hastodontia,,302
1108,Hydnoporia,,302
1109,Hymenochaete,,302
1110,Hymenochaetopsis,,302
1111,Inocutis,,302
1112,Inonotopsis,,302
1113,Inonotus,,302
1114,Neomensularia,,302
1115,Ochrosporellus,,302
1116,Onnia,,302
1117,Phellinopsis,,302
1118,Phellinotus,,302
1119,Phellinus,,302
