taxon_key,species_key,scientific_name,source,name
2523562,2523562,Cotylidia harmandii (Lloyd) D.A.Reid,db,キブリウロコタケ
2523564,2523562,Stereum harmandii Lloyd,db,キブリウロコタケ
2523676,2523676,Peniophorella pubera (Fr.) P.Karst.,gbif,ヤリノホコウヤクタケ
2523872,2523872,Alloclavaria purpurea (O.F.Müll.) Dentinger & D.J.McLaughlin,gbif,ムラサキナギナタタケ
2523915,2523911,Jacksonomyces furfurellus (Bres.) Sheng H.Wu & Z.C.Chen,db,イボコメバタケ
2523915,2523911,Jacksonomyces furfurellus (Bres.) Sheng H.Wu & Z.C.Chen,gbif,イボコメバタケ
2523926,2523926,"Loreleia postii (Fr.) Redhead, Moncalvo, Vilgalys & Lutzoni",db,ダイダイサカズキタケ
2523926,2523926,"Loreleia postii (Fr.) Redhead, Moncalvo, Vilgalys & Lutzoni",gbif,ダイダイサカズキタケ
2524054,2524054,Protuberella borealis (S.Imai) S.Imai & A.Kawam.,db,ニカワショウロ
2524055,2524054,Protubera borealis S.Imai,db,ニカワショウロ
2524065,2524065,Ileodictyon gracile Berk.,db,カゴタケ
2524065,2524065,Ileodictyon gracile Berk.,gbif,カゴタケ
2524071,2524071,Pseudocolus fusiformis (E.Fisch.) Lloyd,db,アカサンコタケ
2524071,2524071,Pseudocolus fusiformis (E.Fisch.) Lloyd,gbif,サンコタケ
2524072,2524071,Pseudocolus javanicus (Penz.) Lloyd,db,アカサンコタケ
2524072,2524071,Pseudocolus javanicus (Penz.) Lloyd,gbif,サンコタケ
